FileID,tp_time,tn_time,fp_time,fn_time,predicted_laughter,predicted_non_laughter,true_laughter,true_non_laughter
ZoFZ1SEqVY0,1.1599230769230768,0.0,0.6169999999999999,0.023076923076922995,"[{'start': 0.5, 'end': 2.276923076923077}]","[{'start': 2.276923076923077, 'end': 2.3}]","[{'start': 0.5, 'end': 0.8690000000000001}, {'start': 1.107, 'end': 1.858}, {'start': 2.237, 'end': 2.3}]","[{'start': 0.8690000000000001, 'end': 1.107}, {'start': 1.858, 'end': 2.237}]"
fwqlFWrZnok,2.1572164948453603,5.496793814432991,1.09020618556701,0.2557835051546391,"[{'start': 4.373711340206185, 'end': 5.463917525773195}, {'start': 7.319587628865979, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 4.373711340206185}, {'start': 5.463917525773195, 'end': 7.319587628865979}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 7.087000000000001, 'end': 9.5}]","[{'start': 0.5, 'end': 7.087000000000001}]"
Sxi1v2Edin0,3.236000000000001,2.20360824742268,3.5603917525773188,0.0,"[{'start': 0.5, 'end': 0.5231958762886598}, {'start': 2.1469072164948453, 'end': 6.06701030927835}, {'start': 6.530927835051546, 'end': 7.922680412371133}, {'start': 8.015463917525771, 'end': 9.47680412371134}]","[{'start': 0.5231958762886598, 'end': 2.1469072164948453}, {'start': 6.06701030927835, 'end': 6.530927835051546}, {'start': 7.922680412371133, 'end': 8.015463917525771}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 2.419, 'end': 4.977}, {'start': 6.919, 'end': 7.597}]","[{'start': 0.5, 'end': 2.419}, {'start': 4.977, 'end': 6.919}, {'start': 7.597, 'end': 9.5}]"
3dKSeoGR1z4,4.930061855670103,0.4555670103092786,3.536432989690722,0.07793814432989687,"[{'start': 0.8479381443298969, 'end': 6.577319587628866}, {'start': 6.739690721649484, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 0.8479381443298969}, {'start': 6.577319587628866, 'end': 6.739690721649484}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 0.77, 'end': 5.778}]","[{'start': 0.5, 'end': 0.77}, {'start': 5.778, 'end': 9.5}]"
_nHfZ3eN-gI,0.5709999999999997,0.463917525773196,7.965082474226804,0.0,"[{'start': 0.5, 'end': 2.6804123711340204}, {'start': 2.8891752577319587, 'end': 9.198453608247423}, {'start': 9.43041237113402, 'end': 9.47680412371134}]","[{'start': 2.6804123711340204, 'end': 2.8891752577319587}, {'start': 9.198453608247423, 'end': 9.43041237113402}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 1.6480000000000001, 'end': 2.219}]","[{'start': 0.5, 'end': 1.6480000000000001}, {'start': 2.219, 'end': 9.5}]"
DXSHDq3P0Hc,0.0,3.6649484536082486,5.335051546391752,0.0,"[{'start': 0.5, 'end': 1.1726804123711339}, {'start': 2.935567010309278, 'end': 7.481958762886597}, {'start': 7.806701030927835, 'end': 7.922680412371133}]","[{'start': 1.1726804123711339, 'end': 2.935567010309278}, {'start': 7.481958762886597, 'end': 7.806701030927835}, {'start': 7.922680412371133, 'end': 9.5}]",[],"[{'start': 0.5, 'end': 9.5}]"
MtZ4-X236yw,2.423969072164949,4.786742268041239,0.8002577319587623,0.9890309278350498,"[{'start': 2.0309278350515463, 'end': 2.123711340206185}, {'start': 3.84020618556701, 'end': 4.814432989690721}, {'start': 5.626288659793814, 'end': 7.018041237113402}, {'start': 8.641752577319586, 'end': 8.664948453608247}, {'start': 8.734536082474227, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 2.0309278350515463}, {'start': 2.123711340206185, 'end': 3.84020618556701}, {'start': 4.814432989690721, 'end': 5.626288659793814}, {'start': 7.018041237113402, 'end': 8.641752577319586}, {'start': 8.664948453608247, 'end': 8.734536082474227}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 3.39, 'end': 4.176}, {'start': 5.362, 'end': 6.949}, {'start': 8.46, 'end': 9.5}]","[{'start': 0.5, 'end': 3.39}, {'start': 4.176, 'end': 5.362}, {'start': 6.949, 'end': 8.46}]"
JspiHIcMpPs,0.7089999999999996,0.3711340206185574,7.919865979381443,0.0,"[{'start': 0.5, 'end': 0.8943298969072164}, {'start': 1.1958762886597938, 'end': 3.8170103092783503}, {'start': 3.8634020618556697, 'end': 9.47680412371134}]","[{'start': 0.8943298969072164, 'end': 1.1958762886597938}, {'start': 3.8170103092783503, 'end': 3.8634020618556697}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 1.8330000000000002, 'end': 2.542}]","[{'start': 0.5, 'end': 1.8330000000000002}, {'start': 2.542, 'end': 9.5}]"
JaNVr8rZ-Wc,1.4019999999999992,4.198453608247419,3.399546391752581,0.0,"[{'start': 0.5, 'end': 0.5231958762886598}, {'start': 1.5670103092783505, 'end': 2.4252577319587627}, {'start': 5.069587628865979, 'end': 7.15721649484536}, {'start': 7.20360824742268, 'end': 7.249999999999999}, {'start': 7.435567010309278, 'end': 7.806701030927835}, {'start': 7.853092783505154, 'end': 7.899484536082474}, {'start': 8.015463917525771, 'end': 8.085051546391753}, {'start': 8.13144329896907, 'end': 9.43041237113402}]","[{'start': 0.5231958762886598, 'end': 1.5670103092783505}, {'start': 2.4252577319587627, 'end': 5.069587628865979}, {'start': 7.15721649484536, 'end': 7.20360824742268}, {'start': 7.249999999999999, 'end': 7.435567010309278}, {'start': 7.806701030927835, 'end': 7.853092783505154}, {'start': 7.899484536082474, 'end': 8.015463917525771}, {'start': 8.085051546391753, 'end': 8.13144329896907}, {'start': 9.43041237113402, 'end': 9.5}]","[{'start': 5.331, 'end': 6.733}]","[{'start': 0.5, 'end': 5.331}, {'start': 6.733, 'end': 9.5}]"
KyuGOQ6LwJE,2.5467634854771775,0.7900414937759337,2.239958506224066,0.023236514522822382,"[{'start': 0.5, 'end': 1.1273858921161826}, {'start': 1.7780082987551866, 'end': 1.8709543568464728}, {'start': 2.0103734439834025, 'end': 6.076763485477177}]","[{'start': 1.1273858921161826, 'end': 1.7780082987551866}, {'start': 1.8709543568464728, 'end': 2.0103734439834025}, {'start': 6.076763485477177, 'end': 6.1}]","[{'start': 3.53, 'end': 6.1}]","[{'start': 0.5, 'end': 3.53}]"
ZMdci4B8qsA,1.803,1.2061855670103094,5.990814432989691,0.0,"[{'start': 0.5, 'end': 6.623711340206185}, {'start': 6.878865979381443, 'end': 7.018041237113402}, {'start': 7.644329896907216, 'end': 7.667525773195876}, {'start': 7.922680412371133, 'end': 9.291237113402062}, {'start': 9.337628865979381, 'end': 9.47680412371134}]","[{'start': 6.623711340206185, 'end': 6.878865979381443}, {'start': 7.018041237113402, 'end': 7.644329896907216}, {'start': 7.667525773195876, 'end': 7.922680412371133}, {'start': 9.291237113402062, 'end': 9.337628865979381}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 1.432, 'end': 3.235}]","[{'start': 0.5, 'end': 1.432}, {'start': 3.235, 'end': 9.5}]"
5PHiDtGhd6s,6.133804123711339,1.9484536082474226,0.8945463917525773,0.0231958762886606,"[{'start': 1.9381443298969072, 'end': 2.4948453608247423}, {'start': 3.0051546391752577, 'end': 9.47680412371134}]","[{'start': 0.5, 'end': 1.9381443298969072}, {'start': 2.4948453608247423, 'end': 3.0051546391752577}, {'start': 9.47680412371134, 'end': 9.5}]","[{'start': 3.343, 'end': 9.5}]","[{'start': 0.5, 'end': 3.343}]"
